"Song Title","Artist","Genre","Profanity Lines","Sentiment Annotation"
"worthit","offset","hiphop","i know youre tight with me you know the type of nigga i am 
i shoot it spitefully i dont give a DAMN what they sayin 
you better fight for me ",""
"worthit","offset","hiphop","need you to be my peace cause these streets get grimey 
see you with another NIGGA ill be damned 
better not catch him up in traffic hope my gun dont jam ",""
"withoutme","eminem","hiphop","but it feels so empty without me 
so come on dip BUM on your lips FUCK that 
cum on your lips and some on your tits and get ready cause this shits about to get heavy ",""
"withoutme","eminem","hiphop","but it feels so empty without me 
so come on dip BUM on your lips FUCK that 
cum on your lips and some on your tits and get ready cause this shits about to get heavy ",""
"withoutme","eminem","hiphop","so come on dip bum on your lips fuck that 
CUM on your lips and some on your TITS and get ready cause this SHITS about to get heavy 
i just settled all my lawsuits ",""
"withoutme","eminem","hiphop","so come on dip bum on your lips fuck that 
CUM on your lips and some on your TITS and get ready cause this SHITS about to get heavy 
i just settled all my lawsuits ",""
"withoutme","eminem","hiphop","so come on dip bum on your lips fuck that 
CUM on your lips and some on your TITS and get ready cause this SHITS about to get heavy 
i just settled all my lawsuits ",""
"withoutme","eminem","hiphop","i just settled all my lawsuits 
FUCK you debbie 
now this looks like a job for me so everybody just follow me ",""
"withoutme","eminem","hiphop","they start feeling like prisoners helpless 
til someone comes along on a mission and yells BITCH 
a visionary vision is scary ",""
"withoutme","eminem","hiphop","so just let me revel and bask 
in the fact that i got everyone kissing my ASS 
and its a disaster ",""
"withoutme","eminem","hiphop","and its a disaster 
such a catastrophe for you to see so DAMN much of my ASS 
you ask for me ",""
"withoutme","eminem","hiphop","and its a disaster 
such a catastrophe for you to see so DAMN much of my ASS 
you ask for me ",""
"withoutme","eminem","hiphop","a tiskit a taskit 
ill go TIT for tat with anybody whos talking this SHIT that SHIT 
chris kirkpatrick you can get your ass kicked ",""
"withoutme","eminem","hiphop","a tiskit a taskit 
ill go TIT for tat with anybody whos talking this SHIT that SHIT 
chris kirkpatrick you can get your ass kicked ",""
"withoutme","eminem","hiphop","ill go tit for tat with anybody whos talking this shit that shit 
chris kirkpatrick you can get your ASS kicked 
worse than them little limp bizkit bastards ",""
"withoutme","eminem","hiphop","you can get stomped by obie 
you 36 year old baldheaded FAG blow me 
you dont know me ",""
"withoutme","eminem","hiphop","ever since prince turned himself into a symbol 
but sometimes the SHIT just seems 
everybody only wants to discuss me ",""
"astronautintheocean","maskedwolf","hiphop","when your brain goes numb you can call that mental freeze 
when these people talk too much put that SHIT in slow motion yeah 
i feel like an astronaut in the ocean ayy ",""
"astronautintheocean","maskedwolf","hiphop","when your brain goes numb you can call that mental freeze 
when these people talk too much put that SHIT in slow motion yeah 
i feel like an astronaut in the ocean ",""
"astronautintheocean","maskedwolf","hiphop","i feel like an astronaut in the ocean 
she say that im cool DAMN straight 
im like yeah thats true thats true ",""
"astronautintheocean","maskedwolf","hiphop","ima keep it in a motion keep it movin like kinetic ayy yeah yeah yeah yeah yeah 
put this SHIT in a frame better know i dont blame 
everything that i say man i seen you deflate ",""
"astronautintheocean","maskedwolf","hiphop","when your brain goes numb you can call that mental freeze 
when these people talk too much put that SHIT in slow motion yeah 
i feel like an astronaut in the ocean ayy ",""
"astronautintheocean","maskedwolf","hiphop","when your brain goes numb you can call that mental freeze 
when these people talk too much put that SHIT in slow motion yeah 
i feel like an astronaut in the ocean",""
"fukumean","gunna","hiphop","ooh dunk rock 
FUCK you mean 
young gunna wunna back callin me splurge ",""
"fukumean","gunna","hiphop","ha ha ha ha 
FUCK you mean 
young gunna wunna they workin my nerves ",""
"fukumean","gunna","hiphop","im about to pour up some syrup 
FUCKING this BITCH like a perv 
smack from the back grab her perm ",""
